,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
120,barrow,99,AR,1561588638,33,-38.31,-60.23,50.81,21.47
121,patacamaya,0,BO,1561588638,25,-17.23,-67.92,41.27,7.16
122,nordfjordeid,89,NO,1561588638,76,61.91,5.99,51.8,6.93
123,amga,0,RU,1561588638,39,60.89,131.98,72.23,2.37
124,vieques,20,PR,1561588639,74,18.43,-65.83,84.99,16.11
125,saint-pierre,0,FR,1561588639,78,48.95,4.24,80.6,11.41
126,saldanha,0,PT,1561588639,72,41.42,-6.55,65.03,1.03
127,deputatskiy,0,RU,1561588579,27,69.3,139.9,73.13,7.78
128,arraial do cabo,0,BR,1561588532,78,-22.97,-42.02,82.4,5.82
129,taoudenni,1,ML,1561588640,8,22.68,-3.98,98.15,11.25
130,paidha,79,UG,1561588640,95,2.42,30.99,59.45,3.33
131,cayenne,20,GF,1561588640,83,4.94,-52.33,78.8,4.7
132,pevek,10,RU,1561588640,85,69.7,170.27,33.89,15.05
133,nanortalik,100,GL,1561588640,99,60.14,-45.24,38.75,8.39
134,belmonte,0,PT,1561588640,89,40.36,-7.35,64.99,1.99
135,longyearbyen,40,NO,1561588640,70,78.22,15.63,42.8,14.99
136,sassandra,90,CI,1561588641,96,4.95,-6.09,71.51,2.17
137,gurun,75,MY,1561588641,88,5.82,100.48,80.6,3.36
138,faanui,1,PF,1561588641,73,-16.48,-151.75,80.51,6.55
139,ardakan,20,IR,1561588641,14,32.31,54.02,91.4,11.41
140,ancud,90,CL,1561588641,93,-41.87,-73.83,46.4,11.41
141,iqaluit,20,CA,1561588641,81,63.75,-68.52,44.6,16.11
142,santa marta,20,CO,1561588489,66,11.24,-74.21,89.6,32.64
143,la ronge,75,CA,1561588496,67,55.1,-105.3,62.6,9.17
144,fort wellington,85,GY,1561588642,95,6.4,-57.6,74.57,4.09
145,torata,75,EC,1561588642,83,-3.6,-79.89,89.6,9.17
146,kirakira,99,SB,1561588642,72,-10.46,161.92,83.21,1.21
147,vila franca do campo,20,PT,1561588642,77,37.72,-25.43,64.4,11.41
148,huarmey,12,PE,1561588642,87,-10.07,-78.15,63.23,14.61
149,port hardy,40,CA,1561588642,68,50.7,-127.42,64.4,6.93
150,sabang,99,PH,1561588642,81,13.8,121.11,80.51,6.67
151,hithadhoo,58,MV,1561588643,72,-0.6,73.08,84.11,8.81
152,san isidro,90,PH,1561588581,94,6.84,126.09,77.0,2.24
153,roald,86,NO,1561588644,93,62.58,6.12,51.8,3.36
154,airai,9,TL,1561588547,58,-8.93,125.41,73.67,3.36
155,thompson,90,CA,1561588445,67,55.74,-97.86,60.8,3.36
156,gold coast,18,AU,1561588644,93,-28.0,153.41,64.99,8.05
