,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
378,ixtapa,75,MX,1561592536,62,20.71,-105.21,86.0,9.17
379,villa carlos paz,0,AR,1561592536,35,-31.42,-64.5,50.0,8.05
380,coahuayana,94,MX,1561592537,66,18.62,-100.35,82.85,2.19
381,zeya,59,RU,1561592537,44,53.74,127.27,66.47,5.3
382,taiping,75,MY,1561592537,88,4.85,100.74,77.0,2.46
383,tecoanapa,40,MX,1561592537,70,16.99,-99.26,87.8,5.82
384,beringovskiy,91,RU,1561592537,75,63.05,179.32,52.97,4.07
385,gigmoto,94,PH,1561592538,77,13.78,124.39,83.93,10.51
386,maniitsoq,70,GL,1561592538,73,65.42,-52.9,50.09,4.74
387,uray,62,RU,1561592538,70,60.13,64.8,47.39,5.03
388,tezu,100,IN,1561592538,98,27.93,96.16,72.41,4.88
389,huarmey,12,PE,1561592538,87,-10.07,-78.15,63.23,14.61
390,nabire,94,ID,1561592539,86,-3.36,135.5,75.47,4.59
391,kulhudhuffushi,99,MV,1561592539,80,6.62,73.07,82.67,11.68
392,ilulissat,20,GL,1561592539,75,69.22,-51.1,42.8,10.29
393,kalmar,20,SE,1561592539,100,56.66,16.36,64.0,5.82
394,mitu,0,IR,1561592540,45,36.2,46.09,67.01,4.83
395,menongue,0,AO,1561592540,46,-14.66,17.68,52.79,5.48
396,port hedland,83,AU,1561592540,93,-20.31,118.58,55.4,5.82
397,komatsu,75,JP,1561592540,58,36.4,136.45,82.4,9.17
398,jasper,1,US,1561592540,44,33.83,-87.28,93.2,4.38
399,bridlington,1,GB,1561592541,87,54.08,-0.19,51.8,6.93
400,flin flon,75,CA,1561592541,59,54.77,-101.88,66.2,5.82
401,bara,99,NG,1561592541,89,10.41,10.6,74.39,5.93
402,singleton,40,AU,1561592541,100,-32.57,151.17,61.0,6.93
403,christchurch,8,NZ,1561592464,70,-43.53,172.64,55.99,2.24
404,budila,18,RO,1561592541,81,45.67,25.81,59.0,1.86
405,filadelfia,0,PY,1561592542,59,-22.35,-60.04,54.59,6.04
406,bilibino,45,RU,1561592542,37,68.06,166.44,59.27,10.49
407,tateyama,75,JP,1561592542,61,36.66,137.31,78.8,12.75
408,nshamba,99,TZ,1561592542,66,-1.8,31.55,68.45,0.43
409,mitsamiouli,0,KM,1561592542,77,-11.38,43.28,76.73,24.16
410,broome,47,GB,1561592542,82,52.47,1.45,57.0,8.05
411,hellvik,75,NO,1561592543,76,59.92,5.78,53.01,4.7
412,monroe,1,US,1561592510,35,41.91,-83.4,89.01,8.05
413,jiamusi,100,CN,1561592543,98,46.81,130.37,53.33,12.95
414,bensonville,75,LR,1561592543,94,6.45,-10.61,77.0,14.74
415,qarqin,0,AF,1561592543,16,37.41,66.03,80.33,5.7
416,saint-leu,75,RE,1561592543,88,-21.15,55.28,71.6,4.7
417,weligama,75,LK,1561592543,77,5.97,80.42,82.85,15.68
418,chakia,100,IN,1561592544,78,26.42,85.05,84.29,10.2
419,kuala terengganu,75,MY,1561592544,88,5.33,103.14,77.0,5.82
420,northam,75,AU,1561592544,81,-31.65,116.67,53.6,4.7
421,sangar,0,RU,1561592544,44,63.92,127.47,73.49,0.98
422,ler,75,NO,1561592544,81,63.2,10.3,53.01,14.99
423,amos,75,CA,1561592410,56,48.57,-78.12,73.4,4.7
424,conceicao do mato dentro,0,BR,1561592317,80,-19.04,-43.42,59.81,1.07
